clusterNum	maxK	pItem	pFeature	clusterAlg	distance	avg_silhouette_width
3	6	0.7	0.7	hc	canberra	0.631822439
3	5	0.9	0.6	hc	canberra	0.631811684
3	7	0.7	0.6	hc	canberra	0.631367327
3	5	0.8	0.9	pam	canberra	0.630255275
3	6	0.8	0.6	hc	canberra	0.629000908
3	6	0.5	0.7	hc	canberra	0.626326533
3	5	0.7	0.9	hc	spearman	0.624300865
3	7	0.7	0.9	hc	spearman	0.622793756
3	7	0.5	0.6	hc	canberra	0.618785896
3	7	0.7	0.9	pam	spearman	0.617871797
3	7	0.8	0.9	pam	canberra	0.617365695
3	6	0.5	1	pam	spearman	0.613952039
3	5	0.7	0.6	hc	canberra	0.608248617
3	7	0.8	0.8	hc	spearman	0.605446989
3	5	0.8	0.8	hc	spearman	0.604729702
3	6	0.6	0.9	hc	spearman	0.603195169
3	5	0.5	0.9	pam	spearman	0.601035001
3	5	0.5	0.9	hc	spearman	0.600064557
3	6	0.6	1	pam	canberra	0.598490935
3	6	0.6	0.6	hc	canberra	0.598397829
3	5	0.7	0.9	pam	spearman	0.596302364
3	6	0.7	0.8	hc	spearman	0.594428859
3	6	0.9	0.5	hc	canberra	0.590392848
3	6	0.6	0.9	pam	spearman	0.589240558
3	7	0.9	0.8	pam	canberra	0.587725145
3	7	0.5	0.9	hc	spearman	0.586966471
3	6	0.9	0.8	hc	spearman	0.585807521
3	6	0.5	0.8	hc	spearman	0.579812394
3	5	0.6	0.5	hc	canberra	0.577652851
3	5	0.5	0.6	hc	canberra	0.577136063
3	6	0.9	0.8	pam	spearman	0.576423403
3	7	0.8	0.8	pam	spearman	0.576009599
3	6	0.5	0.5	hc	canberra	0.575840912
3	7	0.6	0.8	hc	spearman	0.574634987
3	6	0.6	0.7	hc	spearman	0.573551148
3	5	0.6	0.8	hc	spearman	0.572497563
3	7	0.8	0.5	hc	canberra	0.571331934
3	6	0.7	0.9	pam	canberra	0.571318186
3	5	0.8	0.5	hc	canberra	0.570770277
3	5	0.8	0.8	pam	spearman	0.569512331
3	5	0.9	0.8	pam	canberra	0.568361289
3	5	0.6	0.8	pam	spearman	0.567568075
3	6	0.7	0.5	hc	canberra	0.562989167
3	7	0.5	0.9	pam	spearman	0.558389681
3	7	0.6	0.5	hc	canberra	0.55766332
3	6	0.7	0.8	pam	spearman	0.557467926
3	5	0.9	0.7	hc	spearman	0.556738674
3	7	0.6	0.8	pam	spearman	0.555159198
3	6	0.8	0.7	hc	spearman	0.552460079
